;name;serving_size;calories;total_fat;saturated_fat;cholesterol;sodium;vitamin_a;vitamin_b12;vitamin_c;vitamin_d;vitamin_e;calcium;phosphorous;potassium;zink;protein;carbohydrate;fiber;sugars
58;Breakfast tart, low fat;100.0;372.0;6.0;1.4;0.0;361.0;950.0;0.0;3.8;0.0;0.53;44.0;93.0;66.0;0.28;3.99;76.8;1.5;4.87
59;Infant formula, powder, store brand, PBM PRODUCTS;100.0;524.0;28.0;13.0;32.0;118.0;1577.0;1.02;43.3;303.0;3.38;331.0;221.0;441.0;3.9;12.0;56.0;0.0;56.0
60;Babyfood, Real Fruit Bars, GERBER GRADUATE FRUIT  STRIPS, snack;100.0;330.0;2.2;0.4;0.0;14.0;233.0;0.0;179.9;0.0;0.96;18.0;23.0;312.0;0.14;0.82;76.61;2.0;68.65
61;Turkey, roasted, cooked, meat and skin, wing, retail parts;100.0;235.0;13.0;3.7;115.0;106.0;80.0;1.36;0.0;34.0;0.17;14.0;192.0;215.0;2.99;28.74;0.13;0.0;0.0
62;Pork, roasted, heated, separable lean and fat, bone-in, rump, ham, cured;100.0;177.0;8.9;2.9;71.0;826.0;5.0;0.61;0.0;33.0;0.33;7.0;263.0;370.0;2.91;23.95;0.64;0.0;0.64
63;"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, boneless, shoulder pot roast";100.0;190.0;7.0;2.2;99.0;63.0;7.0;3.41;0.0;5.0;0.08;13.0;234.0;360.0;9.53;31.71;0.0;0.0;0.0
64;Yardlong beans, with salt, boiled, cooked, mature seeds;100.0;118.0;0.5;0.1;0.0;241.0;16.0;0.0;0.4;0.0;0.0;42.0;181.0;315.0;1.08;8.29;21.09;3.8;0.0
65;"Beef, broiled, cooked, prime, trimmed to 1/8"" fat, separable lean and fat, top loin, short loin";100.0;310.0;22.0;8.9;79.0;64.0;0.0;1.94;0.0;0.0;0.0;9.0;197.0;354.0;4.65;25.92;0.0;0.0;0.0
66;Blueberries, unsweetened, frozen;100.0;51.0;0.6;0.1;0.0;1.0;46.0;0.0;2.5;0.0;0.48;8.0;11.0;54.0;0.07;0.42;12.17;2.7;8.45
67;"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, shoulder steak";100.0;175.0;5.8;2.4;82.0;68.0;5.0;3.43;0.0;5.0;0.1;12.0;249.0;372.0;8.19;28.6;0.0;0.0;0.0
68;Beans, with salt, boiled, cooked, mature seeds, pinto;100.0;143.0;0.7;0.1;0.0;238.0;0.0;0.0;0.8;0.0;0.94;46.0;147.0;436.0;0.98;9.01;26.22;9.0;0.34
69;CAMPBELL'S Red and White, condensed, Cream of Shrimp Soup;100.0;81.0;4.8;1.6;16.0;694.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;2.42;6.45;0.0;0.0
70;Veal, raw, separable lean only, rib;100.0;120.0;3.9;1.2;83.0;95.0;0.0;1.36;0.0;0.0;0.21;14.0;194.0;306.0;3.47;19.97;0.0;0.0;0.0
71;Veal, raw, separable lean only, cubed for stew (leg and shoulder);100.0;109.0;2.5;0.8;84.0;83.0;0.0;1.49;0.0;0.0;0.27;17.0;213.0;331.0;3.48;20.27;0.0;0.0;0.0
72;Pigeon peas (red gram), without salt, boiled, cooked, mature seeds;100.0;121.0;0.4;0.1;0.0;5.0;3.0;0.0;0.0;0.0;0.0;43.0;119.0;384.0;0.9;6.76;23.25;6.7;0.0
73;Cookies, chocolate-coated, graham crackers;100.0;500.0;26.0;17.0;1.0;265.0;8.0;0.1;0.1;1.0;0.99;46.0;87.0;267.0;0.2;4.0;66.78;2.2;37.3
74;APPLEBEE'S, french fries;100.0;290.0;13.0;2.3;1.0;618.0;0.0;0.0;0.7;0.0;0.93;19.0;137.0;538.0;0.49;3.31;39.5;3.9;0.0
75;Candies, sugar-coated almonds;100.0;474.0;18.0;1.9;0.0;13.0;3.0;0.0;0.0;0.0;12.36;100.0;166.0;255.0;1.56;10.0;68.26;2.5;62.5
76;Snacks, chopped and formed, beef jerky;100.0;410.0;26.0;11.0;48.0;2081.0;0.0;0.99;0.0;11.0;0.49;20.0;407.0;597.0;8.11;33.2;11.0;1.8;9.0
77;Clif Z bar;100.0;409.0;9.7;2.7;0.0;375.0;7.0;0.0;39.1;0.0;0.98;444.0;244.0;333.0;1.15;5.55;74.72;8.3;30.56
78;Beef, raw, sweetbread, imported, New Zealand;100.0;303.0;29.0;12.0;217.0;64.0;65.0;2.1;0.0;25.0;0.69;4.0;331.0;318.0;1.0;11.51;0.0;0.0;0.0
79;SMART SOUP, Moroccan Chick Pea;100.0;51.0;1.1;0.2;0.0;148.0;0.0;0.0;0.0;0.0;0.0;23.0;0.0;0.0;0.0;2.0;9.7;3.1;4.2
80;Headcheese, pork;100.0;157.0;11.0;3.4;69.0;941.0;0.0;1.05;0.0;37.0;0.25;16.0;56.0;31.0;0.97;13.83;0.0;0.0;0.0
81;Babyfood, strained, blueberry yogurt, dessert;100.0;77.0;0.7;0.5;4.0;14.0;41.0;0.43;12.4;0.0;0.4;25.0;109.0;62.0;0.14;0.5;17.05;0.4;13.62
82;Babyfood, junior, vegetables and lamb, dinner;100.0;51.0;1.7;0.7;5.0;13.0;1483.0;0.16;1.7;0.0;0.24;13.0;49.0;95.0;0.22;2.1;7.1;1.1;0.94
83;Pork, raw, separable lean only, country-style, center slice, ham, cured;100.0;195.0;8.3;2.8;70.0;2695.0;0.0;0.88;0.0;37.0;0.28;10.0;318.0;510.0;2.81;27.8;0.3;0.0;0.0
84;VAN'S, Totally Original Waffles, Gluten Free;100.0;248.0;8.2;0.8;0.0;508.0;0.0;0.0;0.0;0.0;0.0;48.0;345.0;121.0;0.54;2.99;40.54;0.0;1.73
85;"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, lip-on, bone-in, rib eye steak";100.0;304.0;23.0;11.0;80.0;59.0;28.0;2.02;0.0;6.0;0.07;22.0;155.0;246.0;5.03;23.19;0.0;0.0;0.0
86;Cereals ready-to-eat, KASHI INDIGO MORNING;100.0;364.0;3.4;0.6;0.0;472.0;209.0;0.0;4.0;0.0;0.67;0.0;256.0;289.0;1.8;7.7;82.8;7.1;22.2
87;Beef, broiled, cooked, patty, 80% lean meat / 20% fat, ground;100.0;270.0;18.0;6.8;88.0;75.0;9.0;2.73;0.0;2.0;0.12;24.0;194.0;304.0;6.25;25.75;0.0;0.0;0.0
88;Chicken, flour, fried, cooked, meat and skin, breast, broilers or fryers;100.0;222.0;8.9;2.5;89.0;76.0;50.0;0.34;0.0;0.0;0.0;16.0;233.0;259.0;1.1;31.84;1.64;0.1;0.0
89;Hearts of palm, canned;100.0;28.0;0.6;0.1;0.0;426.0;0.0;0.0;7.9;0.0;0.0;58.0;65.0;177.0;1.15;2.52;4.62;2.4;0.0
90;KELLOGG'S, Frosted Cinnamon Roll Toaster Pastries, POP-TARTS;100.0;416.0;14.0;4.6;0.0;329.0;1000.0;0.0;0.0;0.0;0.0;0.0;43.0;74.0;0.3;4.7;67.8;1.4;26.2
91;Chickpeas (garbanzo beans, bengal gram), low sodium, solids and liquids, canned, mature seeds;100.0;88.0;2.0;0.2;0.0;132.0;15.0;0.0;0.1;0.0;0.19;35.0;80.0;144.0;0.69;4.92;13.49;4.4;2.59
92;KEEBLER, Mini Mints Grasshopper Cookies, FUDGE SHOPPE, 100 Calorie RIGHT BITES;100.0;456.0;15.0;10.0;1.0;343.0;0.0;0.0;0.0;0.0;0.0;0.0;93.0;408.0;0.4;5.2;75.0;2.9;34.5
93;"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, lip-on, bone-in, rib eye steak/roast";100.0;248.0;19.0;8.8;68.0;55.0;16.0;1.75;0.0;5.0;0.14;11.0;124.0;237.0;4.24;18.44;0.0;0.0;0.0
94;Candies, prepared-from-recipe, with nuts, chocolate, fudge;100.0;461.0;19.0;6.5;12.0;39.0;140.0;0.07;0.2;0.0;0.26;57.0;114.0;183.0;1.43;4.38;67.93;2.5;63.37
95;Turkey, smoked, low fat, and beef sausage, pork;100.0;101.0;2.5;0.9;21.0;796.0;0.0;0.28;1.9;3.0;0.09;10.0;74.0;243.0;1.2;8.0;11.54;0.6;0.0
96;Soup, ready-to-serve, chunky, canned, chicken;100.0;71.0;2.6;0.8;12.0;354.0;511.0;0.1;0.5;0.0;0.13;10.0;45.0;70.0;0.4;5.06;6.88;0.6;0.87
97;Snacks, unsalted, wheat-based, sesame sticks;100.0;541.0;37.0;6.5;0.0;29.0;88.0;0.0;0.0;0.0;0.0;170.0;138.0;177.0;1.17;10.9;46.5;0.0;0.0
98;Potatoes, whole milk added, home-prepared, mashed;100.0;83.0;0.6;0.3;2.0;302.0;27.0;0.07;6.2;8.0;0.02;24.0;46.0;296.0;0.28;1.91;17.57;1.5;1.48
99;Candies, MOUNDS Candy Bar;100.0;486.0;27.0;21.0;2.0;145.0;0.0;0.0;0.4;0.0;0.19;21.0;91.0;321.0;1.1;4.6;58.59;3.7;46.19
